class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Image & Vision Computing,MoreLife (UK) Ltd,PROJECT PARTNER,Ara,Darzi,Liberating housebound obese individuals using augmented virtual reality,Info. & commun. Technol.,Closed,EPSRC,6/30/2014,Research Grant,Standard Research,2/16/2013,244664.632
Catalysis & Applied Catalysis,Sasol Technology,COLLABORATOR,Laura,Torrente Murciano,Stabilization of metal nanoparticles by their confinement on curved supports,Catalysis & surfaces,Closed,EPSRC,10/19/2014,Research Grant,First Grant - Revised 2009,2/20/2013,107061.1
Aerodynamics,AIRBUS UK,PROJECT PARTNER,Sergei I.,Chernyshenko,Sum-of-Squares Approach to Global Stability and Control of Fluid Flows,Mechanical engineering,Active,EPSRC,2/22/2016,Research Grant,Standard Research,2/23/2013,336962.248
Aerodynamics,University of California Santa Barbara,COLLABORATOR,Antonis,Papachristodoulou,Sum-of-Squares Approach to Global Stability and Control of Fluid Flows,Mechanical engineering,Active,EPSRC,7/22/2016,Research Grant,Standard Research,2/23/2013,274821.734
Medical Imaging,National Co-ordinating Centre for the Physics of Mammography (NCCPM),COLLABORATOR,Kevin,Wells,Solid-State Breast CT with X-ray Colour Imaging: A new approach to breast screening using STFC's HEXITEC imaging detector technology,"Tools, technologies & methods",Closed,STFC,8/24/2013,Research Grant,Futures,2/25/2013,48806.206
Analytical Science,University of Oxford,LEAD ORGANISATION,Justin,Benesch,Mass spectrometry based structural proteomics,"Tools, technologies & methods",Closed,BBSRC,5/24/2014,Research Grant,Small Grants,2/25/2013,104947.6
Analytical Science,University of Southampton,LEAD ORGANISATION,Andrew,Hector,Enabling microfocus &amp; thin film X-ray scattering at the University of Southampton,"Tools, technologies & methods",Closed,EPSRC,2/27/2014,Research Grant,Standard Research,2/28/2013,19001.328
Mathematical Physics,King's College London,LEAD ORGANISATION,Igor,Wigman,Applications of Number Theory and Probability in problems in Mathematical Physics,Mathematical sciences,Closed,EPSRC,6/27/2014,Research Grant,First Grant - Revised 2009,2/28/2013,74648.624
Soil science,University of Plymouth,LEAD ORGANISATION,Graham,Matthews,Elucidating the importance of the pools of nitrate in soils on denitrification,Terrest. & freshwater environ.,Closed,BBSRC,2/27/2016,Research Grant,Standard Grant - NI,2/28/2013,9601.852
Catalysis & Applied Catalysis,University College London,LEAD ORGANISATION,Richard,Catlow,Technical support,Catalysis & surfaces,Active,EPSRC,2/27/2017,Research Grant,Standard Research,2/28/2013,48327.82
Stellar Astronomy,University of Cambridge,LEAD ORGANISATION,Jay,Farihi,Kinematics; Galactic Age; Chemistry and Water Fraction of Asteroid-Polluted White Dwarfs from the Sloan Digital Sky Survey,Astronomy Observation,Closed,STFC,9/30/2013,Research Grant,Standard (FEC),3/1/2013,204822.596
Materials Characterisation,University of Pennsylvania,PROJECT PARTNER,Neil,McKeown,New microporous polymers for carbon dioxide selective membranes,Materials sciences,Closed,EPSRC,12/31/2013,Research Grant,Standard Research,3/1/2013,386391.032
Medical science & disease,University of Liverpool,LEAD ORGANISATION,Karyn,Morrissey,A Spatial Microsimulation Model of Co-morbidity,Medical & health interface,Closed,ESRC,1/30/2015,Research Grant,Small Grants,3/1/2013,160076.102
Energy - Conventional,The University of Manchester,LEAD ORGANISATION,Bob,Ainsworth,Transferability of small-specimen data to large-scale component fracture assessment,Energy,Closed,EPSRC,6/30/2015,Research Grant,Standard Research - NR1,3/1/2013,524396.424
Materials Processing,Pilkington Group Limited,PROJECT PARTNER,Ioannis,Papakonstantinou,Biologically Inspired Nanostructures for Smart Windows with Antireflection and Self-Cleaning Properties,Materials processing,Closed,EPSRC,9/1/2015,Research Grant,First Grant - Revised 2009,3/1/2013,100022.504
Ecosystem Scale Processes,Imperial College London,LEAD ORGANISATION,Guy,Woodward,Diversity in Upland Rivers for Ecosystem Service Sustainability - DURESS,Terrest. & freshwater environ.,Closed,NERC,12/1/2015,Research Grant,Directed (Research Programmes),3/1/2013,266012.32
Plasmas - Laser & Fusion,Queen's University of Belfast,LEAD ORGANISATION,David,Riley,Structure factors in warm dense matter,Plasma physics,Active,EPSRC,2/29/2016,Research Grant,Standard Research,3/1/2013,467214.222
Sustainable Energy Networks,Alstom Grid Ltd,PROJECT PARTNER,Gareth,Taylor,Developing Scalable Smart Grid Infrastructure to Enable Secure Transmission System Control,Energy,Active,EPSRC,2/29/2016,Research Grant,Standard Research,3/1/2013,670922.9
Tectonic Processes,University of Utrecht,PROJECT PARTNER,Jeroen,van Hunen,What drives and resists plate sinking through the transition zone?,Geosciences,Active,NERC,2/29/2016,Research Grant,Standard Grant (FEC),3/1/2013,200236.77
Structural Biology,University of Birmingham,LEAD ORGANISATION,Andrew,Lovering,Understanding the Role of Peptidoglycan Metabolism in Bacterial Predation,Biomolecules & biochemistry,Closed,BBSRC,2/29/2016,Research Grant,Standard Grant,3/1/2013,595154.302
Materials Characterisation,University of St Andrews,LEAD ORGANISATION,Russell,Morris,Hemilabile and Switchable Metal-Organic Frameworks,Materials sciences,Active,EPSRC,6/9/2016,Research Grant,Standard Research,3/1/2013,587837.274
Climate & Climate Change,University of St Andrews,LEAD ORGANISATION,Michael,Fedak,Ocean2ice,Climate & climate change,Active,NERC,8/31/2016,Research Grant,Directed (Research Programmes),3/1/2013,84369.898
Large Scale Dynamics/Transport,National Oceanography Centre,LEAD ORGANISATION,Elaine,McDonagh,Diagnosing Earth's Energy Pathways in the Climate system (DEEP-C),Atmospheric phys. & chemistry,Active,NERC,2/28/2017,Research Grant,Standard Grant (FEC),3/1/2013,418513.26
Stellar Astronomy,University of Exeter,FELLOW,Stefan,Kraus,Spectro-interferometric imaging of protoplanetary disks,Astronomy Observation,Active,STFC,2/28/2018,Fellowship,Ernest Rutherford Fellowship,3/1/2013,413740.756
Computer Sys. & Architecture,Hewlett Packard plc,COLLABORATOR,Stephen,Furber,PAMELA: a Panoramic Approach to the Many-CorE LAndsape - from end-user to end-device: a holistic game-changing approach,Info. & commun. Technol.,Active,EPSRC,2/28/2018,Research Grant,Programme Grants,3/1/2013,4135047.988
Design & Testing Technology,Georgia Institute of Technology,COLLABORATOR,Charles E,Dickerson,Theme 1 - Analysis of the Vehicle as a Complex System,Manufacturing,Active,EPSRC,2/28/2018,Research Grant,Standard Research,3/1/2013,1472959.232
Tissue engineering,University of Oxford,LEAD ORGANISATION,Constantin,Coussios,ULTRASPINE: Ultrasound-Enabled Minimally Invasive Disc Replacement,Medical & health interface,Active,EPSRC,2/28/2018,Research Grant,Standard Research - NR1,3/1/2013,1571940.084
Fundamentals of Computing,University of Pennsylvania,PROJECT PARTNER,Peter,Sewell,REMS: Rigorous Engineering for Mainstream Systems,Info. & commun. Technol.,Active,EPSRC,2/28/2019,Research Grant,Programme Grants,3/1/2013,5575634.582
Digital Signal Processing,King's College London,LEAD ORGANISATION,Zoran,Cvetkovic,Visits to University of California; Berkeley; Stanford University; and SRI International,Info. & commun. Technol.,Closed,EPSRC,3/3/2014,Research Grant,Overseas Travel Grants (OTGS),3/4/2013,21058.8
Med.Instrument.Device& Equip.,University of Bath,LEAD ORGANISATION,Gareth J,Price,Biofilm disruption by cavitation generated by dental ultrasonic instrumentation,Medical & health interface,Closed,EPSRC,3/3/2015,Research Grant,Standard Research,3/4/2013,194980.11
Bioenergy,Newcastle University,LEAD ORGANISATION,Harry,Gilbert,The use of genome mining and protein engineering to generate novel xylan and cellulose degrading enzymes,Atomic & molecular physics,Closed,BBSRC,3/3/2016,Research Grant,Industrial Partnership Award,3/4/2013,356015.816
Structural Biology,Newcastle University,LEAD ORGANISATION,Bernard,Connolly,Biochemical and genetic characterisation of DNA polymerase D; a novel archaeal replicative polymerase,Biomolecules & biochemistry,Closed,BBSRC,3/3/2016,Research Grant,Responsive Mode,3/4/2013,363666.4
Mathematical Physics,University of Surrey,LEAD ORGANISATION,Alessandro,Torrielli,Exotic quantum groups; Lie superalgebras and integrable systems,Mathematical sciences,Closed,EPSRC,3/10/2015,Research Grant,First Grant - Revised 2009,3/11/2013,97336.336
Mathematical Physics,University of Oxford,LEAD ORGANISATION,Xenia,De La Ossa,Vacuum States of the Heterotic String,Mathematical sciences,Active,EPSRC,9/16/2016,Research Grant,Standard Research,3/17/2013,613852.652
Materials Synthesis & Growth,University of Liverpool,LEAD ORGANISATION,Andrew,Cooper,Porous Organic Crystals: From Prediction to Synthesis and Function,Materials sciences,Active,EPSRC,9/1/2017,Research Grant,Standard Research,3/17/2013,488824.24
Palaeoenvironments,University of Southampton,LEAD ORGANISATION,Paul,Wilson,Climate change across the Eocene/Oligocene and Oligocene/Miocene transitions: IODP Expedition 342; Newfoundland sediment drifts,Climate & climate change,Closed,NERC,9/17/2013,Research Grant,Directed (Research Programmes),3/18/2013,19980.288
Energy - Conventional,Imperial College London,LEAD ORGANISATION,Simon,Walker,Thermal Hydraulics for Boiling and Passive Systems,Energy,Active,EPSRC,12/17/2015,Research Grant,Standard Research - NR1,3/18/2013,797146.858
Materials Synthesis & Growth,University of Sao Paulo,COLLABORATOR,Peter,Jarowski,Towards Type IV Metallopolymers for Fast Organic Electronics,Materials sciences,Closed,EPSRC,3/24/2015,Research Grant,First Grant - Revised 2009,3/25/2013,71492.114
Electric Motor & Drive Systems,University of Warwick,LEAD ORGANISATION,Jihong,Wang,New Control Methodology for the Next Generation of Engine Management Systems,Electrical engineering,Active,EPSRC,9/26/2016,Research Grant,Standard Research,3/27/2013,304652.58
High Performance Computing,Cardiff University,LEAD ORGANISATION,William,Housley,Hate' Speech and Social Media: Understanding Users; Networks and Information Flows,"Tools, technologies & methods",Closed,ESRC,8/30/2014,Research Grant,Knowledge Exchange Opps,3/31/2013,100213.158
Plasmas - Laser & Fusion,University of York,LEAD ORGANISATION,Benjamin,Dudson,Plasma turbulence in complex environments,Plasma physics,Closed,EPSRC,3/30/2015,Research Grant,First Grant - Revised 2009,3/31/2013,97881.754
Electrochemical Science & Eng.,The University of Manchester,LEAD ORGANISATION,Robert,Dryfe,Electrochemical Oxidation of Low Molecular Weight Alkanes to Liquid Fuels at Molecular Interfaces,Catalysis & surfaces,Closed,EPSRC,9/30/2015,Research Grant,Standard Research,3/31/2013,251416.884
Solar Technology,University of Cambridge,LEAD ORGANISATION,Henning,Sirringhaus,G8-2012 Ink-jet printed single-crystal organic photovoltaics (IPSOP),Energy,Active,EPSRC,3/30/2016,Research Grant,Standard Research,3/31/2013,414783.094
Materials Characterisation,University of St Andrews,LEAD ORGANISATION,Georg,Haehner,Modification of silicon oxide substrates with functional ultrathin organic films,Materials sciences,Active,EPSRC,4/30/2016,Research Grant,Standard Research,3/31/2013,327713.168
Optical Devices & Subsystems,Plessey Semiconductors Ltd,PROJECT PARTNER,David,Cumming,Triple wavelength superspectral camera focal-plane array (SUPERCAMERA),Electrical engineering,Active,EPSRC,3/30/2017,Research Grant,Standard Research,3/31/2013,1503627.548
Energy - Nuclear,University of Cambridge,PROJECT PARTNER,Robin,Grimes,Fundamental Properties of Thoria Based Mixed Oxides,Energy,Active,EPSRC,3/30/2017,Research Grant,Standard Research - NR1,3/31/2013,382535.146
Materials testing & eng.,Los Alamos National Laboratory,PROJECT PARTNER,Keith,Worden,S^3 Disease Surveillance for Structures and Systems,Civil eng. & built environment,Active,EPSRC,3/30/2018,Fellowship,EPSRC Fellowship,3/31/2013,891165.2
Beyond the Standard Model,Osaka University,COLLABORATOR,Yoshi,Uchida,COMET,Particle physics - experiment,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2013,20103.12
Stellar Astronomy,Durham University,LEAD ORGANISATION,Ray,Sharples,A Programme of Astronomical Instrumentation and High-Energy Astrophysics at Durham 2013-2015,Astronomy Observation,Closed,STFC,3/31/2014,Research Grant,Standard (FEC) - NoFR,4/1/2013,1207176.568
Data Handling & Storage,University of Edinburgh,LEAD ORGANISATION,Robert,Mann,WFAU Equipment Grant 2013-2014,Astronomy Observation,Closed,STFC,3/31/2014,Research Grant,Urgency Scheme,4/1/2013,32259.2
B Physics/Flavour Physics,University of Oxford,LEAD ORGANISATION,Richard,Nickerson,ATLAS Upgrade 2012,Particle physics - experiment,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2013,177828.84
Beyond the Standard Model,Royal Holloway; University of London,LEAD ORGANISATION,Pedro,Teixeira-Dias,ATLAS upgrade 2012 - Trigger/DAQ L1TT (WP8) resources at RHUL,Particle physics - experiment,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2013,40702.592
Beyond the Standard Model,The University of Manchester,LEAD ORGANISATION,Stefan,Soldner-Rembold,ATLAS Upgrade 2012/1 - Tracker,Particle physics - experiment,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2013,55054.992
Beyond the Standard Model,University of Birmingham,LEAD ORGANISATION,Alan,Watson,UPGRADING THE ATLAS EXPERIMENT FOR THE LUMINOSITY FRONTIER AT THE LARGE HADRON COLLIDER,Particle physics - experiment,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2013,15204.56
Materials Synthesis & Growth,University of Warwick,LEAD ORGANISATION,James,Lloyd-Hughes,Ultrafast dynamical properties of multifunctional materials,Materials sciences,Closed,EPSRC,10/31/2014,Fellowship,Career Acceleration Fellowship,4/1/2013,215231.04
The Standard Model,Faculty of Natural Sciences,COLLABORATOR,Peter,Hobson,GridPP4 Tranche-II LondonGrid-Brunel Staff Grant,Particle physics - theory,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,233026.736
B Physics/Flavour Physics,Lancaster University,LEAD ORGANISATION,Roger,Jones,GridPP4 Tranche-II Northgrid-Lancaster Staff Grant,Particle physics - experiment,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,270336.816
Beyond the Standard Model,Imperial College London,LEAD ORGANISATION,David,Colling,GridPP4 Tranche-II LondonGrid-Imperial Staff Grant,Particle physics - experiment,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,681224.12
Beyond the Standard Model,Queen Mary; University of London,LEAD ORGANISATION,Stephen,Lloyd,GridPP4 Tranche-II LondonGrid-QMUL Staff Grant,Particle physics - experiment,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,400438.944
Beyond the Standard Model,University of Birmingham,LEAD ORGANISATION,Christopher,Hawkes,GridPP4 Tranche-II SouthGrid-Birmingham Staff Grant,Particle physics - experiment,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,164965.264
Beyond the Standard Model,University of Sheffield,LEAD ORGANISATION,Davide,Costanzo,GridPP4 Tranche-II NorthGrid-Sheffield Staff Grant,Particle physics - experiment,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,79108.2
The Standard Model,University of Glasgow,LEAD ORGANISATION,David,Britton,GridPP4 Tranche-II ScotGrid-Glasgow Staff Grant,Particle physics - theory,Closed,STFC,9/30/2015,Research Grant,Standard (FEC),4/1/2013,936894.584
Optoelect. Devices & Circuits,Hitachi Cambridge Laboratory,PROJECT PARTNER,Raymond,Murray,Long wavelength single photon sources and dotonic molecules,Electrical engineering,Active,EPSRC,3/31/2016,Research Grant,Standard Research,4/1/2013,533477.976
Biological membranes,University of East Anglia,LEAD ORGANISATION,Thomas,Clarke,Molecular Basis for Controlled Transmembrane Electron Transfer,Biomolecules & biochemistry,Closed,BBSRC,3/31/2016,Research Grant,Responsive Mode,4/1/2013,321430.456
